query,engine,domain,URL,title,text
.ke,Google,kenyans.co.ke
.ke,Google,kenic.or.ke
.ke,Google,parliament.go.ke
.ke,Google,kplc.co.ke
.ke,Google,tsc.go.ke
.ke,Google,evisa.go.ke
.ke,Google,centralbank.go.ke
.ke,Google,ca.go.ke
.ke,Google,google.co.ke
.ke,Google,portal.health.go.ke
.ke,Google,publicservice.go.ke
.ke,Google,nairobi.go.ke
.ke,Google,president.go.ke
.ke,Google,kpa.co.ke
.ke,Google,mku.ac.ke
.ke,Google,ghris.go.ke
.ke,Google,tukenya.ac.ke
.ke,Google,kcaa.or.ke
.ke,Google,fns.immigration.go.ke
.ke,Google,kra.go.ke
.ke,Google,uonbi.ac.ke
.ke,Google,kpc.co.ke
.ke,Google,kenha.co.ke
.ke,Google,kmtc.ac.ke
.ke,Google,judiciary.go.ke
.ke,Google,meteo.go.ke
.ke,Google,nemis.education.go.ke
.ke,Google,epra.go.ke
.ke,Google,kepsa.or.ke
.ke,Google,kura.go.ke
.ke,Google,kca.ac.ke
.ke,Google,iebc.or.ke
.ke,Google,hudumakenya.go.ke
.ke,Google,cak.go.ke
.ke,Google,knbs.or.ke
.ke,Google,icta.go.ke
.ke,Google,kemu.ac.ke
.ke,Google,co-opbank.co.ke
.ke,Google,knh.or.ke
.ke,Google,ke.sportpesa.com
.ke,Google,treasury.go.ke
.ke,Google,kws.go.ke
.ke,Google,metickets.krc.co.ke
.ke,Google,radio.or.ke
.ke,Google,klrc.go.ke
.ke,Google,psckjobs.go.ke
.ke,Google,mfa.go.ke
.ke,Google,ke.usembassy.gov
.ke,Google,bomayangu.go.ke
.ke,Google,kilimo.go.ke
.ke,Google,cma.or.ke
.ke,Google,lsk.or.ke
.ke,Google,en.wikipedia.org
.ke,Google,mod.go.ke
.ke,Google,makueni.go.ke
.ke,Google,nationalpolice.go.ke
.ke,Google,ntsa.go.ke
.ke,Google,mu.ac.ke
.ke,Google,vision2030.go.ke
.ke,Google,nascop.or.ke
.ke,Google,cob.go.ke
.ke,Google,knec.ac.ke
.ke,Google,nema.go.ke
.ke,Google,nhif.or.ke
